waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) Y
-0.2278636802629659,4.093244190396849e-08,-0.2237035097925679,4.106250391926218e-08,-0.2301971213773915,4.08907822877471e-08,-0.2345472182226849,4.067954912236076e-08
-0.2287543558511889,4.187719328718477e-08,-0.2245998511218787,4.200490816715917e-08,-0.2311000392847498,4.182602800857943e-08,-0.2354562269478244,4.160772769518114e-08
-0.2296452877061688,4.284365628011666e-08,-0.2254965257638453,4.296880553263677e-08,-0.232003350150672,4.278251342071383e-08,-0.2363656750144931,4.255692881812402e-08
-0.2305364772333554,4.383232689233378e-08,-0.2263935363060519,4.395468230735539e-08,-0.2329070570775706,4.376071692880851e-08,-0.2372755657468018,4.352762495476554e-08
-0.2314279258627727,4.484371237445937e-08,-0.2272908853602216,4.496303568478188e-08,-0.2338111631859046,4.476112763019939e-08,-0.2381859024793584,4.452029912960084e-08
-0.2323196350490009,4.58783314703248e-08,-0.2281885755620165,4.599437400260511e-08,-0.2347156716137631,4.578424555327268e-08,-0.2390966885566397,4.553544516487788e-08
-0.2332116062711589,4.693671467471668e-08,-0.2290866095708342,4.704921699053889e-08,-0.2356205855164413,4.683058190122005e-08,-0.2400079273323443,4.657356792285717e-08
-0.2341038410328928,4.80194044968409e-08,-0.2299849900695983,4.812809602363277e-08,-0.236525908066002,4.790065930129661e-08,-0.2409196221687346,4.763518355363231e-08
-0.2349963408623599,4.912695572962072e-08,-0.2308837197645441,4.923155438121591e-08,-0.2374316424508289,4.899501205971762e-08,-0.2418317764359621,4.872081974864207e-08
-0.2358891073122151,5.025993572496588e-08,-0.2317828013849983,5.036014751160281e-08,-0.238337791875165,5.011418642231947e-08,-0.2427443935113787,4.983101600001256e-08
-0.2367821419596012,5.141892467514118e-08,-0.232682237683151,5.151444330269023e-08,-0.2392443595586418,5.125874084112846e-08,-0.2436574767788333,5.096632386586838e-08
-0.2376754464061344,5.260451590036396e-08,-0.2335820314338239,5.269502235858197e-08,-0.2401513487357934,5.24292462469693e-08,-0.2445710296279533,5.212730724175682e-08
-0.2385690222778958,5.381731614277844e-08,-0.2344821854342307,5.390247828237806e-08,-0.2410587626555611,5.362628632826406e-08,-0.2454850554534107,5.331454263833349e-08
-0.2394628712254201,5.505794586693464e-08,-0.2353827025037294,5.513741796526701e-08,-0.2419666045807829,5.485045781616049e-08,-0.2463995576541735,5.452861946545801e-08
-0.2403569949236823,5.632703956691886e-08,-0.2362835854835688,5.640046188206871e-08,-0.2428748777876706,5.610237077614688e-08,-0.2473145396327416,5.577014032285596e-08
-0.241251395072092,5.762524608029334e-08,-0.237184837236627,5.769224439337421e-08,-0.2437835855652744,5.738264890630225e-08,-0.2482300047943682,5.70397212975056e-08
