waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) Y
0.186242929204109,3.583890123643076e-08,0.195304091294867,3.595344872781779e-08,0.1914488725527972,3.585084106713129e-08,0.1884239659136331,3.573331694769745e-08
0.187054726781941,3.66699096859147e-08,0.1961331484168703,3.678449632138852e-08,0.1922840362725487,3.667775103978276e-08,0.1892633730553536,3.655615192853934e-08
0.1878666871209045,3.752014214199672e-08,0.1969623991891153,3.763468086990441e-08,0.1931194274718409,3.752364556356374e-08,0.1901030355566716,3.739783497139241e-08
0.1886788103161546,3.839004185670097e-08,0.1977918446502645,3.850444073024556e-08,0.1939550476333831,3.838895772290724e-08,0.1909429552036688,3.825879476589394e-08
0.189491096486891,3.928006225367565e-08,0.1986214858637931,3.93942242268141e-08,0.1947908982670557,3.927413039774976e-08,0.1917831338109045,3.913946966315551e-08
0.1903035457761444,4.019066716001712e-08,0.1994513239178943,4.03044898759332e-08,0.195626980909773,4.017961648270622e-08,0.1926235732212218,4.004030789119428e-08
0.1911161583505659,4.112233104331398e-08,0.2002813599253887,4.123570661523699e-08,0.1964632971253534,4.110587911109466e-08,0.1934642753055576,4.096176777512222e-08
0.1919289344002312,4.20755392540505e-08,0.201111595023638,4.218835403815563e-08,0.1972998485043934,4.205339188391345e-08,0.1943052419627551,4.190431796219779e-08
0.1927418741384472,4.305078827346898e-08,0.2019420303744663,4.316292263361335e-08,0.1981366366641446,4.302263910387969e-08,0.195146475119382,4.286843765185183e-08
0.1935549778015711,4.404858596702425e-08,0.2027726671640833,4.415991403104756e-08,0.1989736632483959,4.401411601464149e-08,0.195987976729548,4.385461683079031e-08
0.1943682456488385,4.506945184355465e-08,0.2036035066030145,4.51798412508699e-08,0.1998109299273592,4.502832904527735e-08,0.1968297487747284,4.486335651329562e-08
0.1951816779621945,4.61139173202878e-08,0.2044345499260346,4.622322896048807e-08,0.2006484383975582,4.606579606019799e-08,0.1976717932635881,4.589516898683264e-08
0.195995275046137,4.71825259938181e-08,0.2052657983921068,4.729061373600941e-08,0.2014861903817195,4.712704661456915e-08,0.1985141122318074,4.695057806308337e-08
0.1968090372275648,4.82758339171892e-08,0.2060972532843223,4.838254432974656e-08,0.2023241876286685,4.821262221537892e-08,0.1993567077419091,4.803011933452604e-08
0.1976229648556348,4.939440988321209e-08,0.2069289159098494,4.949958194366385e-08,0.2031624319132259,4.932307658827144e-08,0.200199581883089,4.91343404366873e-08
0.1984370583016257,5.053883571416104e-08,0.2077607875998798,5.06423005088785e-08,0.2040009250361073,5.045897595027331e-08,0.201042736771044,5.026380131618733e-08
0.1992513179588056,5.170970655798445e-08,0.2085928697095852,5.181128697136703e-08,0.2048396688238251,5.162089928854551e-08,0.2018861745478028,5.141907450470962e-08
0.2000657442423119,5.290763119118306e-08,0.2094251636180705,5.300714158399448e-08,0.2056786651285915,5.280943864529074e-08,0.202729897381556,5.260074539902934e-08
0.2008803375890345,5.413323232849722e-08,0.2102576707283358,5.42304782050214e-08,0.2065179158282227,5.40251994089509e-08,0.2035739074664867,5.380941254723096e-08
0.2016950984575019,5.53871469395488e-08,0.2110903924672373,5.54819246032177e-08,0.2073574228260462,5.526880061183816e-08,0.2044182070225999,5.504568794125573e-08
0.2025100273277811,5.667002657260803e-08,0.211923330285453,5.67621227697361e-08,0.2081971880508068,5.654087523433509e-08,0.205262798295551,5.631019731591974e-08
0.2033251247013767,5.798253768562613e-08,0.2127564856574511,5.807172923689076e-08,0.2090372134565747,5.78420705158134e-08,0.2061076835564745,5.760358045454781e-08
0.2041403911011395,5.932536198470448e-08,0.2135898600814595,5.941141540398921e-08,0.2098775010226538,5.917304827241809e-08,0.2069528651018094,5.892649150136874e-08
0.2049558270711792,6.069919677016002e-08,0.2144234550794396,6.078186787037845e-08,0.2107180527534902,6.053448522186704e-08,0.2077983452531249,6.027959928082653e-08
0.2057714331767839,6.210475529036117e-08,0.2152572721970587,6.218378877585377e-08,0.2115588706785808,6.192707331542439e-08,0.208644126356942,6.16635876239602e-08
0.2065872100043424,6.354276710349404e-08,0.2160913130036692,6.361789614860482e-08,0.2123999568523811,6.335152007720217e-08,0.2094902107845544,6.307915570201028e-08
0.2074031581612753,6.501397844744803e-08,0.2169255790922848,6.508492426084822e-08,0.2132413133542133,6.480854895095579e-08,0.2103366009318456,6.452701836741816e-08
0.208219278275968,6.651915261799154e-08,0.2177600720795626,6.658562399233111e-08,0.214082942288174,6.629889965453895e-08,0.2111832992191047,6.60079065023796e-08
0.2090355709977105,6.805907035542231e-08,0.2185947936057821,6.812076320186062e-08,0.2149248457830395,6.782332854218393e-08,0.2120303080908363,6.752256737512501e-08
0.2098520369966414,6.96345302398801e-08,0.2194297453348297,6.969112710705395e-08,0.2157670259921709,6.938260897478588e-08,0.2128776300155691,6.907176500410062e-08
0.210668676963697,7.124634909551507e-08,0.2202649289541821,7.129751867247316e-08,0.2166094850934179,7.097753169836407e-08,0.2137252674856604,7.065628053022935e-08
0.2114854916105639,7.289536240370151e-08,0.221100346174891,7.294075900633672e-08,0.2174522252890207,7.260890523088685e-08,0.2145732230170951,7.227691259743116e-08
0.2123024816696372,7.458242472549943e-08,0.2219359987315684,7.462168776599388e-08,0.2182952488055095,7.427755625763959e-08,0.2154214991492813,7.393447774159306e-08
0.2131196478939824,7.630841013357122e-08,0.2227718883823729,7.634116357235368e-08,0.2191385578936023,7.598433003533162e-08,0.2162700984448413,7.562981078817902e-08
0.2139369910573027,7.80742126537559e-08,0.2236080169089979,7.810006443346693e-08,0.219982154828101,7.773009080513408e-08,0.2171190234893966,7.736376525867424e-08
0.2147545119539069,7.988074671651204e-08,0.2244443861166563,7.98992881774547e-08,0.2208260419077839,7.951572221484672e-08,0.2179682768913489,7.913721378606862e-08
0.2155722113986877,8.172894761846002e-08,0.2252809978340699,8.173975289500015e-08,0.2216702214552945,8.134212775039797e-08,0.2188178612816536,8.095104853957899e-08
0.2163900902270958,8.361977199422331e-08,0.2261178539134549,8.362239739159997e-08,0.2225146958170302,8.321023117689077e-08,0.2196677793135895,8.280618165882603e-08
0.2172081492951263,8.55541982988206e-08,0.2269549562305113,8.554818164980524e-08,0.2233594673630241,8.512097698939739e-08,0.2205180336625205,8.470354569768069e-08
0.2180263894793005,8.753322730081352e-08,0.2277923066844075,8.751808730165142e-08,0.2242045384868264,8.707533087373631e-08,0.2213686270256518,8.664409407799571e-08
0.2188448116766579,8.955788258647456e-08,0.2286299071977682,8.953311811152196e-08,0.225049911605379,8.907428017743599e-08,0.2222195621217787,8.862880155345816e-08
0.2196634168047487,9.162921107519448e-08,0.2294677597166596,9.159430046965851e-08,0.2258955891588887,9.111883439113286e-08,0.2230708416910287,9.065866468378614e-08
0.2204822058016295,9.374828354638498e-08,0.2303058662105748,9.370268389655919e-08,0.2267415736106939,9.321002564062408e-08,0.2239224684945957,9.273470231951058e-08
0.2213011796258631,9.591619517813228e-08,0.2311442286724181,9.585934155850653e-08,0.2275878674471285,9.534890918982068e-08,0.2247744453144672,9.485795609758788e-08
0.2221203392565222,9.813406609785194e-08,0.2319828491184872,9.806537079445999e-08,0.2284344731773801,9.75365639548458e-08,0.2256267749531428,9.702949094808813e-08
0.2229396856931944,1.004030419452107e-07,0.2328217295884558,1.003218936545742e-07,0.2292813933333429,9.977409302952586e-08,0.2264794602333448,9.925039561221901e-08
0.2237592199559913,1.027242944475888e-07,0.2336608721453538,1.02630057450593e-07,0.2301286304694664,1.020626242225382e-07,0.2273325039977194,1.015217831719413e-07
0.2245789430855618,1.050990220083509e-07,0.2345002788755463,1.049910353183828e-07,0.2309761871625968,1.044033106064687e-07,0.2281859091085312,1.038447915914539e-07
0.2253988561431055,1.075284503082075e-07,0.2353399518887096,1.07406026792867e-07,0.231824066011815,1.067973310790596e-07,0.2290396784473454,1.062205842708125e-07
0.2262189602103913,1.100138329199556e-07,0.2361798933178083,1.098762583956487e-07,0.2326722696382662,1.092458909369158e-07,0.2298938149147033,1.086503506119707e-07
0.227039256389777,1.125564519368923e-07,0.2370201053190662,1.124029842355819e-07,0.2335208006849849,1.117502224619542e-07,0.2307483214297867,1.111353065975317e-07
0.2278597458042338,1.151576186151956e-07,0.2378605900719389,1.149874866226001e-07,0.2343696618167123,1.143115855208858e-07,0.231603200930072,1.136766953825048e-07
0.2286804295973707,1.178186740305813e-07,0.238701349779081,1.176310766950695e-07,0.2352188557197075,1.169312681780287e-07,0.2324584563709753,1.162757878993695e-07
0.229501308933463,1.205409897495477e-07,0.2395423866663127,1.203350950609927e-07,0.2360683851015517,1.196105873217535e-07,0.2333140907254858,1.189338834767643e-07
0.2303223849974828,1.233259685155257e-07,0.2403837029825825,1.231009124533447e-07,0.2369182526909443,1.223508893048671e-07,0.2341701069837884,1.21652310472109e-07
