waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
19.78307260221527,69.82240692753797,16.42727340714623,93.50531294477297,14.15385608147415,106.3643446623196,12.53773300026408,114.6512139753365
19.72385530008226,69.82776700791136,16.32892584645922,93.36760463273673,14.04367126627092,106.1234065429846,12.42460088172503,114.3339070694685
19.66375591904304,69.83026559645664,16.22988684618753,93.22468469650876,13.93313729788941,105.8764533705339,12.31140608674067,114.0104473536748
19.60277010055575,69.8298544840553,16.13016791097068,93.07651777895248,13.82227178841671,105.6234737675968,12.19816881138211,113.680852994017
19.54089379231318,69.82648572436338,16.02978085085896,92.92306980972629,13.71109257297167,105.3644586517039,12.08490937612088,113.3451454247817
19.47812325193238,69.82011165627125,15.92873777916617,92.76430804867918,13.59961770496597,105.099401305539,11.97164821753629,113.0033494278482
19.41445505046195,69.81068492640506,15.8270511102545,92.60020113018699,13.48786545118712,104.8282974479233,11.85840587971198,112.6554932109815
19.34988607570913,69.79815851167558,15.72473355724957,92.43071910842684,13.37585428669558,104.5511453054437,11.74520300531229,112.3016084847848
19.28441353538959,69.78248574188126,15.62179812968407,92.2558335035926,13.2636028895266,104.2679456846165,11.63206032632997,111.9417305380452
19.21803496010175,69.76362032237263,15.51825813106749,92.07551734904219,13.15113013518841,103.9787020444731,11.51899865449639,111.5758983111876
19.15074820612959,69.74151635678507,15.41412715637952,91.88974523937249,13.03845509094724,103.6834205694483,11.40603887134622,111.2041544675279
19.08255145807572,69.71612836984936,15.30941908948406,91.69849337940931,12.92559700989024,103.3821102424326,11.29320191792917,110.8265454620229
19.01344323132889,69.68741133028767,15.2041481004609,91.50173963410022,12.81257532475606,103.0747829178479,11.18050878416109,110.4431216071759
18.94342237436875,69.65532067380471,15.09832864285142,91.2994635792903,12.6994096415243,102.7614533945922,11.06798049780847,110.0539371357636
18.87248807091135,69.61981232618423,14.99197545081438,91.09164655336218,12.58611973275328,102.4421394886859,10.95563811309996,109.6590502600249
18.80063984189898,69.5808427264999,14.88510353618785,90.87827170971339,12.47272553065656,102.1168621054408,10.84350269896023,109.2585232269406
18.72787754733806,69.53836885045224,14.77772818545256,90.65932407004168,12.35924711990827,101.7856453109689,10.73159532686149,108.8524223692279
18.65420138798865,69.49234823384126,14.669864956592,90.43479057840514,12.24570473016698,101.4485164028247,10.61993705828981,108.4408181516548
18.57961190690943,69.44273899618686,14.56152967584399,90.20466015601814,12.13211872830832,101.1055059795686,10.50854893182359,108.0237852122709
18.50410999086208,69.38949986450807,14.4527384343382,89.96892375673839,12.01850961035637,100.7566480090297,10.39745194982344,107.6014023981467
18.42769687157876,69.33259019727197,14.34350758461386,89.72757442319879,11.90489799310378,100.4019798950276,10.28666706473326,107.1737527952004
18.35037412689656,69.27197000852502,14.23385373701144,89.48060734352676,11.79130460541103,100.0415425423022,10.17621516499433,106.7409237516869
18.27214368176309,69.20759999221804,14.12379375593166,89.22801990859335,11.67775027917529,99.6753804193954,10.06611706057529,106.3030068949222
18.19300780911671,69.13944154673645,14.01334475595509,88.96981176972544,11.56425593995958,99.30354161920154,9.956393468122572,105.8600981408085
18.11296913064559,69.06745679964813,13.90252409781513,88.7059848968082,11.45084259727318,98.92607791690803,9.84706499573757,105.4122976957307
18.0320306174291,68.99160863268061,13.79134938421666,88.43654363669958,11.33753133449487,98.54304482502204,9.738152127388695,104.9597100503882
17.95019559046553,68.91186070693857,13.67983845549286,88.1614947718718,11.22434329843065,98.15450164517733,9.62967520696818,104.5024439651461
17.86746772108982,68.82817748837454,13.56800938509156,87.88084757918551,11.1112996884985,97.76051151639712,9.5216544220059,104.0406124464761
17.78385103128477,68.74052427352264,13.45588047488296,87.59461388869856,10.99842174553326,97.361141459485,9.414109787054285,103.5743327140856
17.69934989388941,68.64886721550766,13.34347025027992,87.30280814240162,10.8857307402049,96.95646241719894,9.307061126760786,103.1037261583345
17.61396903270796,68.5531733503398,13.23079745516139,87.00544745276339,10.77324796104527,96.54654928986162,9.200528058646775,102.6289182875635
17.52771352252257,68.45341062350495,13.11788104659,86.70255166096504,10.66099470207818,96.13148096604522,9.094529975614124,102.150038664973
17.4405887890132,68.34954791686134,13.004740189314,86.39414339469027,10.54899225004932,95.71134034796947,8.989086028203328,101.667220834713
17.35260060858758,68.24155507585144,12.89139425004356,86.08024812533137,10.43726187125352,95.28621437123689,8.88421510662956,101.1806022368798
