waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) Y
-0.2234140988551603,25.26819343941582,-0.2192267139842103,25.36418780847253,-0.2256883189478893,25.26779687557489,-0.2300086491875213,25.14404481694682
-0.2243035133298399,25.26314522059436,-0.2201214267057985,25.35601493615983,-0.2265893179392919,25.25775954634927,-0.2309155106568177,25.13272305440632
-0.2251931774133582,25.25804623711963,-0.2210164601708513,25.34776840626381,-0.2274906946616744,25.24764001902232,-0.2318227950256746,25.12131658246972
-0.2260830923879766,25.2528960620099,-0.2219118168434291,25.33944781098745,-0.2283924521213587,25.23743804810385,-0.2327305055567335,25.10982535689139
-0.2269732595606433,25.24769426675002,-0.222807499212661,25.33105274683211,-0.229294593344634,25.22715339866794,-0.2336386455260804,25.09824934941276
-0.2278636802629659,25.24244042134553,-0.2237035097925679,25.32258281481065,-0.2301971213773915,25.21678584667355,-0.2345472182226849,25.08658854813073
-0.2287543558511889,25.23713409437698,-0.2245998511218787,25.31403762066379,-0.2311000392847498,25.206335179289,-0.2354562269478244,25.07484295786712
-0.2296452877061688,25.23177485305799,-0.2254965257638453,25.3054167750822,-0.232003350150672,25.19580119522065,-0.2363656750144931,25.06301260053921
-0.2305364772333554,25.22636226329451,-0.2263935363060519,25.29671989393172,-0.2329070570775706,25.18518370504508,-0.2372755657468018,25.05109751553013
-0.2314279258627727,25.22089588974603,-0.2272908853602216,25.28794659848435,-0.2338111631859046,25.17448253154463,-0.2381859024793584,25.03909776005968
-0.2323196350490009,25.21537529588967,-0.2281885755620165,25.27909651565264,-0.2347156716137631,25.16369751004704,-0.2390966885566397,25.02701340955467
-0.2332116062711589,25.20980004408571,-0.2290866095708342,25.27016927822929,-0.2356205855164413,25.15282848876776,-0.2400079273323443,25.01484455801859
-0.2341038410328928,25.20416969564595,-0.2299849900695983,25.26116452513094,-0.236525908066002,25.14187532915587,-0.2409196221687346,25.00259131839997
-0.2349963408623599,25.19848381090399,-0.2308837197645441,25.2520819016467,-0.2374316424508289,25.13083790624249,-0.2418317764359621,24.99025382295923
-0.2358891073122151,25.19274194928788,-0.2317828013849983,25.24292105969108,-0.238337791875165,25.11971610899255,-0.2427443935113787,24.97783222363347
-0.2367821419596012,25.18694366939553,-0.232682237683151,25.23368165806125,-0.2392443595586418,25.1085098406586,-0.2436574767788333,24.96532669239879
-0.2376754464061344,25.18108852907204,-0.2335820314338239,25.22436336269936,-0.2401513487357934,25.09721901913728,-0.2445710296279533,24.9527374216294
-0.2385690222778958,25.17517608548986,-0.2344821854342307,25.21496584695874,-0.2410587626555611,25.0858435773279,-0.2454850554534107,24.94006462445319
-0.2394628712254201,25.16920589523124,-0.2353827025037294,25.20548879187499,-0.2419666045807829,25.07438346349278,-0.2463995576541735,24.92730853510328
-0.2403569949236823,25.16317751437373,-0.2362835854835688,25.19593188644143,-0.2428748777876706,25.06283864161934,-0.2473145396327416,24.91446940926464
-0.241251395072092,25.15709049857753,-0.237184837236627,25.18629482788889,-0.2437835855652744,25.05120909178331,-0.2482300047943682,24.90154752441541
-0.2421460733944774,25.15094440317642,-0.2380864606471422,25.17657732197011,-0.2446927312149325,25.0394948105133,-0.2491459565462644,24.88854318016249
-0.243041031639079,25.14473878327047,-0.2389884586204349,25.16677908324808,-0.2456023180497087,25.02769581115593,-0.2500623982967904,24.87545669857004
-0.243936271578534,25.13847319382263,-0.239890834082622,25.15689983538934,-0.2465123493938146,25.01581212424126,-0.2509793334546311,24.86228842448106
-0.2448317950098671,25.13214718975699,-0.2407935899803224,25.14693931146071,-0.2474228285820192,25.00384379784836,-0.2518967654279551,24.84903872583068
-0.2457276037544767,25.12576032606088,-0.2416967292803527,25.13689725423101,-0.2483337589590422,24.9917908979707,-0.2528146976235603,24.83570799395059
-0.2466236996581204,25.11931215788943,-0.2426002549694157,25.1267734164763,-0.2492451438789345,24.97965350888062,-0.2537331334460056,24.822296643864
-0.247520084590902,25.11280224067294,-0.2435041700537772,25.11656756128952,-0.2501569867044438,24.96743173349272,-0.2546520762967239,24.8088051145703
-0.2484167604472536,25.10623013022803,-0.2444084775589335,25.1062794623938,-0.2510692908063648,24.95512569372578,-0.2555715295731253,24.79523386931801
-0.2493137291459198,25.0995953828709,-0.2453131805292701,25.09590890445985,-0.251982059562875,24.94273553086249,-0.2564914966676832,24.78158339586626
-0.2502109926299374,25.09289755553451,-0.2462182820277081,25.08545568342681,-0.2528952963588551,24.9302614059071,-0.2574119809670068,24.76785420673248
-0.2511085528666162,25.08613620588863,-0.2471237851353423,25.07491960682724,-0.2538090045851953,24.91770349993946,-0.2583329858509003,24.75404683942673
-0.2520064118475158,25.07931089246318,-0.2480296929510657,25.06430049411488,-0.2547231876380847,24.90506201446609,-0.2592545146914087,24.74016185667081
-0.2529045715884215,25.07242117477472,-0.2489360085911847,25.05359817699644,-0.2556378489182869,24.89233717176694,-0.2601765708518504,24.72619984660129
