waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
27.14734366679378,23.7664110631262,27.20528575557067,56.61616280428305,27.10822117650569,75.40077769651215,27.00444682972915,86.58687829096411
27.14399921407266,23.81503272741372,27.19970553107346,56.77583150210489,27.10118818027878,75.63274200056387,26.99631826434435,86.85242716829283
27.14061931839426,23.86331826570924,27.19406867046472,56.93449244352155,27.09408696612163,75.86314670116185,26.98811404166699,87.11591453074875
27.137203630069,23.91127057995948,27.18837469178847,57.09215113949745,27.08691703509243,76.09200141824556,26.97983368953554,87.37735567454234
27.13375179654577,23.95889253201278,27.18262311126257,57.24881306803618,27.07967788868909,76.31931572704298,26.97147673876793,87.63676582374366
27.13026346240356,24.00618694411533,27.17681344333691,57.40448367428276,27.07236902898019,76.54509915772633,26.96304272335838,87.89416012924289
27.12673826934362,24.05315659940331,27.17094520075355,57.55916837064393,27.06498995873887,76.76936119511942,26.95453118067797,88.1495536678259
27.12317585618097,24.09980424238993,27.16501789460911,57.71287253692691,27.05754018158171,76.99211127847285,26.94594165168009,88.40296144137645
27.11957585883811,24.14613257944926,27.15903103442001,57.8656015204981,27.05001920210963,77.21335880128707,26.93727368111108,88.65439837621386
27.11593791033746,24.19214427929474,27.15298412818931,58.01736063645722,27.04242652605467,77.43311311119983,26.92852681772483,88.90387932251868
27.11226164079516,24.2378419734538,27.1468766824767,58.16815516783031,27.03476166042869,77.65138350991562,26.91970061450275,89.15141905389798
27.10854667741482,24.28322825673789,27.14070820246998,58.31799036577873,27.02702411367776,77.86817925319687,26.91079462887863,89.39703226704584
27.10479264448281,24.32830568770911,27.13447819206028,58.46687144982644,27.01921339583907,78.08350955089844,26.90180842296773,89.64073358150908
27.10099916336253,24.3730767891412,27.12818615391873,58.61480360810179,27.01132901870333,78.29738356705461,26.89274156380192,89.88253753955456
27.09716585249041,24.41754404847757,27.12183158957626,58.76179199759633,27.00337049598017,78.50981042000987,26.88359362356864,90.122458606141
